district,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,asian_vap_pct,name
1,700000,75,8,7,4,Congressional District 1
2,700000,75,8,7,4,Congressional District 2
3,700000,75,8,7,4,Congressional District 3
4,700000,75,8,7,4,Congressional District 4
5,700000,75,8,7,4,Congressional District 5
6,700000,75,8,7,4,Congressional District 6
7,700000,75,8,7,4,Congressional District 7
8,700000,75,8,7,4,Congressional District 8
9,700000,75,8,7,4,Congressional District 9
10,700000,75,8,7,4,Congressional District 10
11,700000,75,8,7,4,Congressional District 11
12,700000,75,8,7,4,Congressional District 12
13,700000,75,8,7,4,Congressional District 13
14,700000,75,8,7,4,Congressional District 14
15,700000,75,8,7,4,Congressional District 15
16,700000,75,8,7,4,Congressional District 16
17,700000,75,8,7,4,Congressional District 17
