district,name,geoid,total_population,adult_population,citizen_population,cvap_total,cvap_total_24,cvap_moe,source_vintage,native_cvap,native_cvap_pct,native_vap_pct,asian_cvap,asian_cvap_pct,asian_vap_pct,black_cvap,black_cvap_pct,black_vap_pct,pacific_cvap,pacific_cvap_pct,pacific_vap_pct,white_cvap,white_cvap_pct,white_vap_pct,multiracial_cvap,multiracial_cvap_pct,multiracial_vap_pct,hispanic_cvap,hispanic_cvap_pct,hispanic_vap_pct
1,"State Senate District 1 (2024), Pennsylvania",610U900US42001,236056,203464,218687,187280,187280,3591,2020-2024 ACS CVAP,191,0.1,0.1,18830,10.05,10.05,17672,9.44,9.44,70,0.04,0.04,131093,70.0,70.0,5294,2.83,2.83,14121,7.54,7.54
2,"State Senate District 2 (2024), Pennsylvania",610U900US42002,249039,180895,220861,157055,157055,4192,2020-2024 ACS CVAP,244,0.16,0.16,9948,6.33,6.33,42289,26.93,26.93,22,0.01,0.01,48215,30.7,30.7,2886,1.84,1.84,53446,34.03,34.03
3,"State Senate District 3 (2024), Pennsylvania",610U900US42003,264276,204138,246678,188336,188336,4645,2020-2024 ACS CVAP,251,0.13,0.13,10047,5.33,5.33,104090,55.27,55.27,0,0.0,0.0,36449,19.35,19.35,5333,2.83,2.83,32168,17.08,17.08
4,"State Senate District 4 (2024), Pennsylvania",610U900US42004,276095,217381,267552,209721,209721,2896,2020-2024 ACS CVAP,233,0.11,0.11,4704,2.24,2.24,103020,49.12,49.12,9,0.0,0.0,87667,41.8,41.8,5361,2.56,2.56,8723,4.16,4.16
5,"State Senate District 5 (2024), Pennsylvania",610U900US42005,258526,199037,233323,177803,177803,4254,2020-2024 ACS CVAP,92,0.05,0.05,16636,9.36,9.36,23796,13.38,13.38,48,0.03,0.03,113801,64.0,64.0,3368,1.89,1.89,20068,11.29,11.29
6,"State Senate District 6 (2024), Pennsylvania",610U900US42006,269471,217070,257189,206452,206452,1612,2020-2024 ACS CVAP,156,0.08,0.08,10736,5.2,5.2,7464,3.62,3.62,12,0.01,0.01,175247,84.89,84.89,3352,1.62,1.62,9487,4.6,4.6
7,"State Senate District 7 (2024), Pennsylvania",610U900US42007,267597,216472,255581,205189,205189,4303,2020-2024 ACS CVAP,334,0.16,0.16,6231,3.04,3.04,106689,52.0,52.0,61,0.03,0.03,76749,37.4,37.4,6524,3.18,3.18,8609,4.2,4.2
8,"State Senate District 8 (2024), Pennsylvania",610U900US42008,248745,197936,232616,183279,183279,3156,2020-2024 ACS CVAP,226,0.12,0.12,9641,5.26,5.26,102854,56.12,56.12,3,0.0,0.0,57931,31.61,31.61,5762,3.14,3.14,6856,3.74,3.74
9,"State Senate District 9 (2024), Pennsylvania",610U900US42009,255238,198241,246579,190344,190344,1762,2020-2024 ACS CVAP,61,0.03,0.03,6891,3.62,3.62,29207,15.34,15.34,57,0.03,0.03,140405,73.76,73.76,3361,1.77,1.77,10369,5.45,5.45
10,"State Senate District 10 (2024), Pennsylvania",610U900US42010,269884,214431,261649,207105,207105,1631,2020-2024 ACS CVAP,87,0.04,0.04,7734,3.73,3.73,9288,4.48,4.48,38,0.02,0.02,174231,84.13,84.13,4943,2.39,2.39,10784,5.21,5.21
11,"State Senate District 11 (2024), Pennsylvania",610U900US42011,264944,204133,245860,187534,187534,1459,2020-2024 ACS CVAP,105,0.06,0.06,2545,1.36,1.36,9878,5.27,5.27,53,0.03,0.03,122571,65.36,65.36,3124,1.67,1.67,49252,26.26,26.26
12,"State Senate District 12 (2024), Pennsylvania",610U900US42012,266500,208860,252506,196384,196384,1851,2020-2024 ACS CVAP,0,0.0,0.0,17137,8.73,8.73,10500,5.35,5.35,15,0.01,0.01,157872,80.39,80.39,3549,1.81,1.81,7321,3.73,3.73
13,"State Senate District 13 (2024), Pennsylvania",610U900US42013,264328,200194,257293,194411,194411,1710,2020-2024 ACS CVAP,68,0.03,0.03,3748,1.93,1.93,9371,4.82,4.82,38,0.02,0.02,153086,78.74,78.74,3083,1.59,1.59,25009,12.86,12.86
14,"State Senate District 14 (2024), Pennsylvania",610U900US42014,268851,209886,249165,192841,192841,2207,2020-2024 ACS CVAP,68,0.04,0.04,3364,1.74,1.74,11093,5.75,5.75,0,0.0,0.0,128441,66.6,66.6,3341,1.73,1.73,46546,24.14,24.14
15,"State Senate District 15 (2024), Pennsylvania",610U900US42015,262403,203727,249242,192105,192105,1424,2020-2024 ACS CVAP,125,0.07,0.07,9195,4.79,4.79,32637,16.99,16.99,59,0.03,0.03,127860,66.56,66.56,5129,2.67,2.67,17093,8.9,8.9
16,"State Senate District 16 (2024), Pennsylvania",610U900US42016,267766,211541,259663,204221,204221,2136,2020-2024 ACS CVAP,101,0.05,0.05,5872,2.88,2.88,4628,2.27,2.27,53,0.03,0.03,176670,86.51,86.51,2779,1.36,1.36,14118,6.91,6.91
17,"State Senate District 17 (2024), Pennsylvania",610U900US42017,261284,205443,246231,192312,192312,1802,2020-2024 ACS CVAP,54,0.03,0.03,11164,5.81,5.81,20322,10.57,10.57,76,0.04,0.04,144831,75.31,75.31,4618,2.4,2.4,11244,5.85,5.85
18,"State Senate District 18 (2024), Pennsylvania",610U900US42018,268867,217405,258521,207866,207866,1040,2020-2024 ACS CVAP,39,0.02,0.02,5363,2.58,2.58,13378,6.44,6.44,51,0.02,0.02,155648,74.88,74.88,3860,1.86,1.86,29527,14.2,14.2
19,"State Senate District 19 (2024), Pennsylvania",610U900US42019,259382,205632,244895,192890,192890,1500,2020-2024 ACS CVAP,55,0.03,0.03,6964,3.61,3.61,13318,6.9,6.9,9,0.0,0.0,157608,81.71,81.71,4685,2.43,2.43,10258,5.32,5.32
20,"State Senate District 20 (2024), Pennsylvania",610U900US42020,273133,221685,269240,218221,218221,1105,2020-2024 ACS CVAP,53,0.02,0.02,1324,0.61,0.61,7201,3.3,3.3,34,0.02,0.02,194462,89.11,89.11,3211,1.47,1.47,11933,5.47,5.47
21,"State Senate District 21 (2024), Pennsylvania",610U900US42021,256771,210395,255642,209370,209370,698,2020-2024 ACS CVAP,84,0.04,0.04,818,0.39,0.39,2798,1.34,1.34,66,0.03,0.03,200308,95.67,95.67,2553,1.22,1.22,2753,1.31,1.31
