district,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,asian_vap_pct,name
1,255000,80,9,6,3,State Senate District 1
2,255000,80,9,6,3,State Senate District 2
3,255000,80,9,6,3,State Senate District 3
4,255000,80,9,6,3,State Senate District 4
5,255000,80,9,6,3,State Senate District 5
6,255000,80,9,6,3,State Senate District 6
7,255000,80,9,6,3,State Senate District 7
8,255000,80,9,6,3,State Senate District 8
9,255000,80,9,6,3,State Senate District 9
10,255000,80,9,6,3,State Senate District 10
11,255000,80,9,6,3,State Senate District 11
12,255000,80,9,6,3,State Senate District 12
13,255000,80,9,6,3,State Senate District 13
14,255000,80,9,6,3,State Senate District 14
15,255000,80,9,6,3,State Senate District 15
16,255000,80,9,6,3,State Senate District 16
17,255000,80,9,6,3,State Senate District 17
18,255000,80,9,6,3,State Senate District 18
19,255000,80,9,6,3,State Senate District 19
20,255000,80,9,6,3,State Senate District 20
21,255000,80,9,6,3,State Senate District 21
22,255000,80,9,6,3,State Senate District 22
23,255000,80,9,6,3,State Senate District 23
24,255000,80,9,6,3,State Senate District 24
25,255000,80,9,6,3,State Senate District 25
26,255000,80,9,6,3,State Senate District 26
27,255000,80,9,6,3,State Senate District 27
28,255000,80,9,6,3,State Senate District 28
29,255000,80,9,6,3,State Senate District 29
30,255000,80,9,6,3,State Senate District 30
31,255000,80,9,6,3,State Senate District 31
32,255000,80,9,6,3,State Senate District 32
33,255000,80,9,6,3,State Senate District 33
34,255000,80,9,6,3,State Senate District 34
35,255000,80,9,6,3,State Senate District 35
36,255000,80,9,6,3,State Senate District 36
37,255000,80,9,6,3,State Senate District 37
38,255000,80,9,6,3,State Senate District 38
39,255000,80,9,6,3,State Senate District 39
40,255000,80,9,6,3,State Senate District 40
41,255000,80,9,6,3,State Senate District 41
42,255000,80,9,6,3,State Senate District 42
43,255000,80,9,6,3,State Senate District 43
44,255000,80,9,6,3,State Senate District 44
45,255000,80,9,6,3,State Senate District 45
46,255000,80,9,6,3,State Senate District 46
47,255000,80,9,6,3,State Senate District 47
48,255000,80,9,6,3,State Senate District 48
49,255000,80,9,6,3,State Senate District 49
50,255000,80,9,6,3,State Senate District 50
